seed,novel_training_fraction,novel_training_n,auroc,brier,ece,calibration_slope,sharpness,high_confidence_error,mean_prediction
10,0.02,160,0.7845656685092303,0.20238101745047637,0.20826335117567008,0.6863300532168359,0.7603965305884637,0.14930015552099535,0.5594033154909965
10,0.05,400,0.7896888906055416,0.2014212546223284,0.2121699526012212,0.74252034546314,0.7570188336657432,0.1266025641025641,0.5554967140654454
10,0.1,800,0.8120547648223795,0.17639615130910147,0.17324264563761294,0.8189485230776036,0.7670748197636615,0.07526881720430108,0.5944240210290538
10,0.2,1600,0.833183091607167,0.1592091517451177,0.15201895050026787,0.9312452816601519,0.7677988550153481,0.057811424638678596,0.6156477161663987
11,0.0,0,0.7624295338190177,0.22106941709933628,0.22686088213667657,0.6951616677718008,0.7439731278889825,0.15083798882681565,0.5238057845299902
11,0.01,80,0.7690917639460112,0.21036591514535033,0.20956385752458673,0.698634269604673,0.7488379628143136,0.1422142214221422,0.5411028091420799
11,0.02,160,0.7841602918617795,0.19975927994038556,0.19346858400109077,0.7015861895011954,0.7606133047841419,0.12229102167182662,0.5571980826655758
11,0.05,400,0.7935838078570682,0.19328172867975085,0.18993152905977156,0.7754937423432068,0.7568137857342863,0.10530612244897959,0.5607351376068952
11,0.1,800,0.8132837655892327,0.17441916023556886,0.16002336720657387,0.8156730731046514,0.7678992568422888,0.08044382801664356,0.5906432994600928
11,0.2,1600,0.8299247964969938,0.1590502761458226,0.1374294897764361,0.9224633571131421,0.7687959871354322,0.05555555555555555,0.6132371768902305
12,0.0,0,0.7579892523673656,0.2165031926727125,0.21064177065793277,0.5786055183996599,0.7651905183234391,0.1879245283018868,0.5505248960087339
12,0.01,80,0.7628945844846163,0.21237864033722062,0.21128428262495866,0.6471006718169963,0.7586204364434923,0.1574608408903545,0.549882384041708
12,0.02,160,0.7759235181971579,0.20757726294448026,0.20921929028643782,0.6857699934147544,0.7605061211425558,0.14835164835164835,0.5519473763802288
12,0.05,400,0.7829929539426246,0.20224086336549793,0.20797684849495937,0.7420503147574437,0.7528380895469894,0.13356164383561644,0.5531898181717073
12,0.1,800,0.8036704346589072,0.18148416151567912,0.179039325400874,0.8146639433872558,0.7603214075213891,0.10016420361247948,0.5821273412657927
12,0.2,1600,0.8307028592357779,0.15881630562653376,0.14391777319995763,0.9025284086217247,0.7752986374152137,0.053536021150033045,0.6172488934667091
13,0.0,0,0.7805434371432454,0.2185501242928,0.23198407686153005,0.6862404662298713,0.7649029496824026,0.1426543647977289,0.5315159231384698
13,0.01,80,0.7921158863270619,0.20755488653621576,0.2224076870154801,0.7550057669905516,0.7606157163647771,0.12215477996965099,0.5410923129845199
13,0.02,160,0.785961378916101,0.21080925403591877,0.2298193018260217,0.7582509062929482,0.7488111204295075,0.1317418213969938,0.5336806981739782
13,0.05,400,0.809977372297471,0.19381745690696733,0.21176264282497378,0.8474825381633228,0.7563072890993963,0.09558232931726908,0.5517373571750261
13,0.1,800,0.8248745969310688,0.18041824206273016,0.1923908763386471,0.8801294858345405,0.7649210595246068,0.0748587570621469,0.5711091236613529
13,0.2,1600,0.8539254041150144,0.15365742886214254,0.1601164623116217,1.0845674989827585,0.7624666816423817,0.03249630723781388,0.6033835376883784
14,0.0,0,0.7719592476754262,0.2114177214069435,0.2185269970196467,0.6594954580488807,0.7541531980187929,0.17835497835497835,0.5449730029803533
14,0.01,80,0.7714180534576203,0.21396567756692642,0.22196385917096673,0.693027339466782,0.7544382009853522,0.13191489361702127,0.5415361408290333
14,0.02,160,0.7814709898823757,0.20261797589920583,0.20035667501467488,0.6806035113584148,0.7668376099651211,0.12552891396332863,0.5631433249853252
14,0.05,400,0.7948026279455894,0.19413814756156497,0.19383755575980458,0.7448677212430114,0.7669038854592072,0.10260014054813774,0.5696624442401953
14,0.1,800,0.8173881794752631,0.1736532428359751,0.175195690854322,0.8845668290208998,0.7573979053843356,0.06554756195043965,0.5883043091456781
14,0.2,1600,0.8398317405947506,0.15712489799405338,0.1514898008167039,0.9730645172940693,0.768166643758747,0.04452296819787986,0.612010199183296
15,0.0,0,0.7732424443053141,0.21329402939913567,0.22408734222944948,0.6850453336552672,0.7546527734226516,0.15784982935153583,0.5422459911038838
15,0.01,80,0.7685637835466514,0.21795790025925021,0.2335388238548691,0.6859442766886842,0.7483631318858163,0.177007299270073,0.5327945094784642
15,0.02,160,0.7868742472538143,0.2044823976236699,0.2147600510488333,0.7133928000883449,0.7589656209901905,0.14184952978056425,0.5515732822845
15,0.05,400,0.7833770993901088,0.2013116239799725,0.21068123545288311,0.7419494861995731,0.7499184396229263,0.13857016769638128,0.5556520978804502
15,0.1,800,0.8070245762128172,0.18454132724196382,0.19078362444964123,0.8270171195513515,0.7584066789750282,0.08973322554567502,0.5755497088836921
15,0.2,1600,0.8299227971722494,0.1612841995681506,0.15605087731200884,0.9308571687318037,0.7665027092261371,0.05747126436781609,0.6102824560213246
16,0.0,0,0.7788826279136711,0.2177061810065883,0.23365458760611893,0.7070851715396617,0.7535477808130608,0.16063548102383055,0.5260120790605477
16,0.01,80,0.7816874386471424,0.2095543394603296,0.21726801641741786,0.7198293875289553,0.7593668361361544,0.14881439084219134,0.5423986502492488
16,0.02,160,0.7804013488652042,0.21080509858097,0.22036511762003444,0.7140562543195269,0.7579355422855744,0.1549053356282272,0.5393015490466322
16,0.05,400,0.7845625408131531,0.2022210509052942,0.20488157105037366,0.7190239352039823,0.7596451282034422,0.13050570962479607,0.5547850956162931
16,0.1,800,0.8140441673629879,0.1823692204335909,0.18568844895953557,0.8598547984745216,0.761903415014268,0.06907378335949764,0.5739782177071311
16,0.2,1600,0.8338791315995591,0.16009999571226338,0.14834682576687036,0.9281863667254179,0.7732162618915003,0.04376657824933687,0.6113198408997963
17,0.0,0,0.7553878138980973,0.22134468306279337,0.2271139090617157,0.623478438017607,0.7561125473046871,0.1711635750421585,0.540052757604951
17,0.01,80,0.7575425817807969,0.21663835011980118,0.21835430485478982,0.6202588080195863,0.7601979896791315,0.17476489028213166,0.5488123618118769
17,0.02,160,0.7633402074617235,0.21042274171164566,0.20686359774897428,0.6206434594228756,0.763886973749135,0.1457577955039884,0.5603030689176924
17,0.05,400,0.7880453925741063,0.1938579760102025,0.19780361935993404,0.7743918408631717,0.754106846201008,0.11130284728213978,0.5693630473067327
17,0.1,800,0.8025476211322142,0.17987893596149304,0.1756939427761081,0.7969653341236034,0.7626338558278982,0.07606973058637084,0.5914727238905586
17,0.2,1600,0.8289761073626782,0.15693944377664487,0.14062629196364668,0.8985830198482434,0.7748705077854208,0.0523961661341853,0.62654037470302
18,0.0,0,0.7793804098240285,0.21528097018672337,0.2290038582795437,0.6994862466177394,0.7565694914335742,0.16044479745830023,0.5339961417204563
18,0.01,80,0.7750563908965953,0.21465494322141845,0.22356282728823926,0.6671409761490948,0.7595721214060347,0.17061973986228002,0.5394371727117607
18,0.02,160,0.7777088060736883,0.2080245110971484,0.2127002977673923,0.6763844295842955,0.7602399449259313,0.15993665874901028,0.5502997022326077
18,0.05,400,0.7986087685309611,0.19272582313698058,0.19909450715349403,0.7916098530412162,0.7569670048139114,0.09836065573770492,0.563905492846506
18,0.1,800,0.8122647051052578,0.1812384053302686,0.18379480579824095,0.829525989780332,0.7617334361698556,0.0955223880597015,0.5792051942017591
18,0.2,1600,0.8359458094390158,0.15623496559849032,0.14179860203450825,0.9377037385072117,0.773403172203997,0.045836023240800515,0.6212013979654918
19,0.0,0,0.7782852192904592,0.21497178338569092,0.2363880475595126,0.7121160682728827,0.7472732897775001,0.1723826714801444,0.5321119524404875
19,0.01,80,0.7839420211379837,0.2119915204476393,0.23344389484554157,0.7366153472351175,0.7495513456430068,0.15132178669097537,0.5350561051544583
19,0.02,160,0.7806391233659018,0.20758457147470283,0.2221129363018975,0.7185943496883175,0.7521564526972112,0.14856646394439618,0.5463870636981025
19,0.05,400,0.7896047561478101,0.20065790865167896,0.2122846784269837,0.7298837044244315,0.7584941105628346,0.14056224899598393,0.5562153215730163
19,0.1,800,0.8098507356887051,0.18540544398987124,0.19410173114314955,0.8352832843256915,0.7610515607603651,0.08489096573208722,0.5743982688568505
19,0.2,1600,0.8393265298698029,0.15918025011905554,0.1579311197274353,0.9413058758405574,0.7722623614514951,0.05502717391304348,0.6105688802725647
