model,regime,training_n,auroc_mean,auroc_std,brier_mean,brier_std,ece_mean,ece_std,calibration_slope_mean,calibration_slope_std,sharpness_mean,sharpness_std,high_confidence_error_mean,high_confidence_error_std,mean_prediction_mean,mean_prediction_std,seed_mean,seed_std
Logistic regression,reference,8000,0.8406167535665597,0.005453287016839331,0.15131882085359788,0.0031262695573627667,0.01252792972870113,0.002160507869617063,0.9946466059139988,0.033396252834877835,0.7790641753279325,0.0034209663461893234,0.050501733603494206,0.006202880027752437,0.34881220603885005,0.006050509955149292,9.5,5.916079783099616
Neural network,novel,250,0.6084694135407871,0.06814304401761383,0.26587897220231066,0.01580307786915352,0.29777225290664344,0.024352184228709373,0.9153100627413038,0.4790904153980431,0.5958213238716563,0.036015482203503306,0.29850088183421514,0.38929150474424873,0.46480900143411785,0.024328230810539024,9.5,5.916079783099616
Neural network,novel,500,0.6638447089808036,0.06704180681870334,0.26177140468895077,0.01841700327936177,0.3002906390944455,0.026306413917613552,1.0533607329405021,0.3412982685403873,0.6243629848357435,0.036523021343530956,0.13966411684794997,0.27915853135198865,0.4622989298415437,0.02575600540312994,9.5,5.916079783099616
Neural network,novel,1000,0.7184085355529455,0.039032589473219914,0.24191798705341783,0.017426321359314455,0.26927656752828144,0.029827079053036616,0.9421587215957945,0.2344529628090775,0.6813463494809211,0.053356419170719274,0.13369026965018146,0.11074188876527358,0.49331572763975995,0.02835946726016389,9.5,5.916079783099616
Neural network,novel,2000,0.7462183403867491,0.027697590489411627,0.2258700019880279,0.01758430371532239,0.23943411343038332,0.037631101430833244,0.8143638875810352,0.25065593029372263,0.7235582254155168,0.05073678009105587,0.11753885359684986,0.05781249248364855,0.5231439937733482,0.03367287131262774,9.5,5.916079783099616
Neural network,novel,4000,0.7604043530265547,0.019046461774187326,0.2180060414060721,0.012962456776289119,0.22255396052162918,0.023634837294954438,0.6819001290220098,0.06776449460958907,0.753889487230791,0.022604161389621857,0.14876887608153855,0.023598917037160667,0.5400210394783709,0.02007767286469224,9.5,5.916079783099616
Neural network,novel,8000,0.768173606988318,0.013939434931564946,0.2148417226962295,0.008387966408578683,0.2198843051817967,0.013821647891223109,0.6787864023244776,0.05699281211084237,0.7589095811841359,0.01610013137320467,0.1501556305409643,0.028963099293525096,0.5426906948182033,0.013032658178902113,9.5,5.916079783099616
Neural network,reference,250,0.686538323062654,0.08648526304458716,0.21131180127691024,0.022378145513807592,0.10472810943558879,0.025326801947027272,1.8656839814565462,0.6152252619592923,0.6035202193572899,0.045230427277369756,0.007440476190476191,0.01968564963589725,0.42643294883074023,0.037487135680673224,9.5,5.916079783099616
Neural network,reference,500,0.7632414003215882,0.0675422746257915,0.19065571710003942,0.019461689548404063,0.09712717215118533,0.024868871549640875,2.102459522897142,0.4502104723847244,0.6428645663284983,0.04525997252104241,0.015262702815153212,0.023748079505021932,0.39471283151117986,0.03196309975588046,9.5,5.916079783099616
Neural network,reference,1000,0.8119803479697989,0.03226860071976865,0.169391093335614,0.01461346612807929,0.06672944958474429,0.032750269226165654,1.6397198809893532,0.5067591088353561,0.7036438170958745,0.05493095400904657,0.030237203959942276,0.020856756014223796,0.3725494313352534,0.024689820502065127,9.5,5.916079783099616
Neural network,reference,2000,0.8269169007017373,0.011242512430985441,0.16042216428148434,0.00853929196805235,0.04202275045856739,0.03300931607743812,1.2884794640079997,0.4715214464401703,0.7440274373582177,0.04747992764004916,0.039356086514593255,0.02050234089688642,0.36380149420968755,0.014131237818791689,9.5,5.916079783099616
Neural network,reference,4000,0.8346402809188256,0.00629802088357487,0.15452360584092412,0.0032574548939569236,0.021164285121715625,0.011976331955301947,1.0264474501076952,0.14940727540326199,0.7730302504106452,0.018995606355197155,0.04945675407313964,0.010781947127673339,0.35592350891238705,0.007786960259298352,9.5,5.916079783099616
Neural network,reference,8000,0.8372880476639347,0.007378883516294855,0.1529970685984265,0.00398467210564034,0.015758731381795003,0.0068658522985738145,0.9972360868118926,0.08951146952574877,0.7783395724600796,0.014194448150097547,0.050290015277710064,0.010867563725961066,0.35145067292379595,0.009795721466790946,9.5,5.916079783099616
Random forest,novel,250,0.7458304810060378,0.038258556143453644,0.24408784734618427,0.01938427020929831,0.29164178923478346,0.026095772551842485,0.9859482441809725,0.14604652565425671,0.6731663679358695,0.01412975610506785,0.26032311409475456,0.06938918050472714,0.47101834043031127,0.02529673902834823,9.5,5.916079783099616
Random forest,novel,500,0.7556065459552824,0.0262225490178217,0.23535879956704142,0.016248581006136194,0.2790803901142076,0.021137211001335223,0.9676724667341684,0.1344410762242595,0.683546685260191,0.012430725538278575,0.2343185788909385,0.07842629471506422,0.48361119556097953,0.01938340713833937,9.5,5.916079783099616
Random forest,novel,1000,0.7655748525500512,0.01762587554691691,0.22756455895026054,0.012587636460621868,0.2669123875233469,0.01800637683779492,0.9196060155307804,0.08286657621967054,0.6969471005010612,0.008044809580159837,0.21539120772145134,0.04584339034018992,0.4957723854333982,0.015332111960268001,9.5,5.916079783099616
Random forest,novel,2000,0.7753468962318821,0.015198585708154019,0.21765617697328182,0.0117440208607188,0.25074957646078194,0.0179097540480576,0.8915992943177272,0.0755760150350708,0.7102479272621275,0.006901244166796505,0.18434081138294364,0.04197633087479904,0.5118254235392181,0.015085019664626612,9.5,5.916079783099616
Random forest,novel,4000,0.777076572121332,0.013051181850249676,0.2150804443075896,0.007964117870770188,0.24478858370786435,0.013406406923224496,0.8760011091973791,0.05394532951836357,0.7173399476661914,0.005988471101611222,0.15698189507042007,0.024134681433439182,0.5177864162921357,0.01064938429358286,9.5,5.916079783099616
Random forest,novel,8000,0.7768129044074717,0.010702481445603656,0.2138666538387887,0.005839851146152172,0.24036414607088602,0.010808093337404968,0.8474706968982044,0.044960336330308735,0.7231300985215711,0.0037796146172536615,0.15214676443799663,0.023537974767370077,0.522210853929114,0.007681840633811553,9.5,5.916079783099616
Random forest,reference,250,0.7887675720599554,0.008802223850061495,0.17549575763800862,0.004081308960887829,0.04024425432033926,0.011611110400059086,1.225445569171041,0.12134125620506926,0.7155450601983642,0.01891454738181033,0.055816439075933144,0.016184824505101468,0.3479640037643783,0.027071614575294063,9.5,5.916079783099616
Random forest,reference,500,0.8012836068744491,0.005895168336945996,0.17004170951313904,0.002879390695828058,0.035518452196295264,0.009616113979313596,1.2207359452533093,0.11419682334589837,0.723052543088438,0.014243459609568604,0.05207960739382404,0.013203425089772491,0.34961175885127926,0.019506436263886623,9.5,5.916079783099616
Random forest,reference,1000,0.8119049795583857,0.005816890199471782,0.16508305517882688,0.002857895364930803,0.02898329434436197,0.008462193307094567,1.1767569155835578,0.06282938432768297,0.7349228134400627,0.00853032711872831,0.05209808975490375,0.007966004429628797,0.34677279944013467,0.014281360505712472,9.5,5.916079783099616
Random forest,reference,2000,0.8175137278693179,0.005878074011416374,0.16213671224251247,0.002856667273632882,0.024250670127694197,0.00621326351736568,1.12805954785147,0.045818452057770506,0.7437226470576137,0.005639430418664786,0.052979913450271796,0.007783077609207232,0.3488921770217862,0.010334984352158046,9.5,5.916079783099616
Random forest,reference,4000,0.8218719065287857,0.0062627695032543215,0.16000223215650816,0.00314082298612529,0.021460667342154124,0.005750848132400954,1.1161831785895564,0.04321292823527123,0.7485718403284101,0.004809332905699702,0.05184959123553384,0.006681918197275523,0.349710598141571,0.007213902441253644,9.5,5.916079783099616
Random forest,reference,8000,0.8248705695039892,0.005875139965523855,0.15855935791695044,0.0030047139855320956,0.01849327948659872,0.004066614425650251,1.095447647039493,0.036904563639464,0.7532785961278994,0.0031581715522394065,0.050625649858178766,0.007182316287663527,0.3495677565080148,0.005971852638254119,9.5,5.916079783099616
